filename, Apple_Leaf_Healthy, Apple_Rust_Leaf, Apple_Scab_Leaf, Bell_Pepper_Healthy_Leaf, Bell_Pepper_Leaf_Curl, Bell_Pepper_Leaf_Spot, Cashew_Anthracnose, Cashew_Gumosis, Cashew_Healthy, Cashew_Leaf_Miner, Cashew_Red_Rust, Cassava_Bacterial_Blight, Cassava_Brown_Spot, Cassava_Green_Miite, Cassava_Healthy, Cassava_Mosaic, Corn_Gray_Leaf_Spot, Corn_Leaf_Blight, Corn_Leaf_Healthy, Corn_Rust_Leaf, Grape_Healthy_Leaf, Grape_Leaf_Black_Rot, Peach _Healthy_Leaf, Peach_Bacterial_Spot, Potato_Healthy_Leaf, Potato_Leaf_Early_Blight, Potato_Leaf_Late_Blight, Raspberry_Healthy_Leaf, Soyabean_Healthy_Leaf, Soyabeen_Diseased_Leaf, Squash_Powdery_Mildew_Leaf, Strawberry_Angular_Leaf_Spot, Strawberry_Blossom_Blight, Strawberry_Graymold, Strawberry_Healthy_Leaf, Strawberry_Leaf_Scorch, Strawberry_Leafspot, Strawberry_Powdery_Mildew_Leaf, Tomato_Early_Blight_Leaf, Tomato_Leaf_Bacterial_Spot, Tomato_Leaf_Healthy, Tomato_Leaf_Late_Blight, Tomato_Leaf_Mosaic_Virus, Tomato_Mold_Leaf, Tomato_Septoria_Leaf_Spot, Tomato_Yellow_Leaf_Curl_Virus, Tomato__Spider_Mites_Two_Spotted_Spider_Mite
Soy-260-_JPG.rf.000a4c84a4363bc6db98034ef77a4eee.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaf-blight285__jpg.rf.000e4c83b254820dd212e6c8dcefd933.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230522_102722_jpg.rf.0008f4218e03299eb3e2d3c97c8d0656.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red-rust1286__jpg.rf.00050be3f6d3aadf487a6df80d88806e.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrawberryLeafScorch-933-_JPG.rf.0010d0585226c718ec0cb04031ddf1ed.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Train_1777_jpg.rf.001ec805bc308f9ccffc56d3ea7ace28.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StrawberryHealthy-688-_JPG.rf.001f932a393444336d35bb620fbfe842.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35c7f0ff-2b3b-4d07-be50-08ff0edfc51f___JR_HL-7625_JPG.rf.001fd6d25a83c98960d892704d89213f.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corn_Common_Rust-967-_JPG.rf.000eb886234c728c37c99810a39b0236.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
healthy991__jpg.rf.002128abf00a136f6893552a4e795076.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
